Customer Id,CusSegment Id,Customer Name
AA-10315,1,Alex Avila
AA-10375,1,Allen Armold
AA-10480,1,Andrew Allen
AA-10645,1,Anna Andreadi
AB-10015,1,Aaron Bergman
AB-10060,3,Adam Bellavance
AB-10105,1,Adrian Barton
AB-10150,1,Aimee Bixby
AB-10165,1,Alan Barnes
AB-10255,3,Alejandro Ballentine
AB-10600,2,Ann Blume
AC-10420,2,Alyssa Crouse
AC-10450,1,Amy Cox
AC-10615,2,Ann Chong
AC-10660,1,Anna Chung
AD-10180,3,Alan Dominguez
AF-10870,1,Art Ferguson
AF-10885,1,Art Foster
AG-10270,1,Alejandro Grove
AG-10300,2,Aleksandra Gannaway
AG-10330,1,Alex Grayson
AG-10390,1,Allen Goldenen
AG-10495,2,Andrew Gjertsen
AG-10525,2,Andy Gerbode
AG-10675,1,Anna Gayman
AG-10765,3,Anthony Garverick
AG-10900,1,Arthur Gainer
AH-10030,2,Aaron Hawkins
AH-10075,2,Adam Hart
AH-10120,3,Adrian Hane
AH-10195,2,Alan Haines
AH-10210,1,Alan Hwang
AH-10465,1,Amy Hunt
AH-10585,1,Angele Hood
AH-10690,2,Anna Häberlin
AI-10855,1,Arianne Irving
AJ-10780,2,Anthony Jacobs
AJ-10795,2,Anthony Johnson
AJ-10945,1,Ashley Jarboe
AJ-10960,1,Astrea Jones
AM-10360,2,Alice McCarthy
AM-10705,1,Anne McFarland
AO-10810,2,Anthony O'Donnell
AP-10720,3,Anne Pryor
AP-10915,1,Arthur Prichep
AR-10345,2,Alex Russell
AR-10405,2,Allen Rosenblatt
AR-10510,1,Andrew Roberts
AR-10540,1,Andy Reiter
AR-10570,1,Anemone Ratner
AR-10825,2,Anthony Rawles
AS-10045,2,Aaron Smayling
AS-10090,1,Adam Shillingsburg
AS-10135,3,Adrian Shami
AS-10225,2,Alan Schoenberger
AS-10240,1,Alan Shonely
AS-10285,2,Alejandro Savely
AS-10630,3,Ann Steele
AT-10435,3,Alyssa Tate
AT-10735,1,Annie Thurman
AW-10840,1,Anthony Witt
AW-10930,3,Arthur Wiediger
AY-10555,2,Andy Yotov
AZ-10750,1,Annie Zypern
BB-10990,2,Barry Blumstein
BB-11545,2,Brenda Bowman
BC-11125,3,Becky Castell
BD-11320,1,Bill Donatelli
BD-11500,1,Bradley Drucker
BD-11560,3,Brendan Dodson
BD-11605,1,Brian Dahlen
BD-11620,1,Brian DeCherney
