"customer name","customer id",sub-category,tong_dthu
"Quincy Jones",QJ-19255,Bookcases,1
"Greg Tran",GT-14710,Bookcases,2
"Maribeth Schnelling",MS-17365,Bookcases,3
"Tracy Blumstein",TB-21520,Bookcases,4
"Anna Gayman",AG-10675,Bookcases,5
"Nora Paige",NP-18670,Bookcases,6
"Tom Stivers",TS-21430,Bookcases,7
"Shahid Collister",SC-20380,Bookcases,8
"Pamela Coakley",PC-18745,Bookcases,9
"Scott Cohen",SC-20260,Bookcases,10
"Tom Prescott",TP-21415,Chairs,1
"Bill Donatelli",BD-11320,Chairs,2
"Laura Armstrong",LA-16780,Chairs,3
"Joe Elijah",JE-15715,Chairs,4
"Luke Weiss",LW-17215,Chairs,5
"Joel Eaton",JE-15745,Chairs,6
"Caroline Jumper",CJ-12010,Chairs,7
"Resi P̦lking",RP-19390,Chairs,8
"Ted Trevino",TT-21070,Chairs,9
"Karen Ferguson",KF-16285,Chairs,10
